,,,Personal Finance Mar 2024 - Mar 2025,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Column 1,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,Total
CATEGORY,,,,,,,,,,,,,,
Allowance,$0.00,$0.00,"$1,000.00",$991.00,"$16,891.00",$991.00,"$1,000.00","$1,000.00","$1,000.00",$0.00,$0.00,$450.00,$0.00,"$23,323.00"
Total income,$0.00,$0.00,"$1,000.00",$991.00,"$16,891.00",$991.00,"$1,000.00","$1,000.00","$1,000.00",$0.00,$0.00,$450.00,$0.00,"$23,323.00"
Eating out & Takeaway,-$122.30,-$101.17,-$180.25,-$111.95,-$70.53,-$280.30,-$293.96,-$354.99,-$177.59,$0.00,$0.00,$0.00,-$59.53,"-$1,752.57"
Entertainment,$0.00,$0.00,-$28.97,-$54.81,-$69.12,-$78.53,-$50.12,-$95.88,-$180.34,$0.00,$0.00,$0.00,$0.00,-$557.77
Fees,$0.00,$0.00,$0.00,$0.00,$0.00,-$0.03,$0.00,-$1.83,$0.00,$0.00,-$1.23,$0.00,$0.00,-$3.09
Groceries,-$33.36,-$163.17,-$22.50,-$153.16,$0.00,-$80.35,-$111.36,-$54.50,-$203.76,$0.00,$0.00,-$30.00,-$13.86,-$866.02
Laundry,-$20.00,-$20.00,-$20.00,-$5.00,-$5.00,-$10.00,-$15.00,-$11.00,-$11.00,$0.00,$0.00,$0.00,-$5.00,-$122.00
Refund,$0.00,$4.00,$0.00,$0.00,$0.00,$0.00,$0.02,$0.00,$0.00,$0.00,$47.72,$0.00,$0.00,$51.74
Subscriptions,-$69.45,-$98.96,-$46.95,-$154.46,-$207.34,-$97.20,-$97.15,-$174.35,-$33.46,-$16.49,-$72.49,-$198.97,-$23.98,"-$1,291.25"
Shopping,$0.00,$0.00,$0.00,-$119.28,$0.00,$0.00,$0.00,-$49.99,-$334.69,$0.00,$0.00,$0.00,$0.00,-$503.96
Transport,$0.00,-$30.18,-$17.72,-$7.73,-$17.04,-$44.88,-$95.22,-$26.16,-$72.15,$0.00,$0.00,-$23.35,$0.00,-$334.43
Transfers,$722.00,$468.00,-$417.60,$10.00,$136.20,-$333.61,-$253.00,-$170.00,$303.00,$20.00,-$14.00,-$189.00,$28.00,$309.99
Other,-$324.81,-$83.70,-$209.59,-$421.41,"-$16,651.34",-$21.06,-$139.80,-$79.46,-$265.56,$0.00,$0.00,$0.00,$0.00,"-$18,196.73"
Total expenses,$152.08,-$25.18,-$943.58,"-$1,017.80","-$16,884.17",-$945.96,"-$1,055.59","-$1,018.16",-$975.55,$3.51,-$40.00,-$441.32,-$74.37,"-$23,266.09"
TOTAL,$152.08,-$25.18,$56.42,-$26.80,$6.83,$45.04,-$55.59,-$18.16,$24.45,$3.51,-$40.00,$8.68,-$74.37,$56.91
,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,
Income,$297.01,,,,,,,,,,,,,
Expenses,-$240.10,,,,,,,,,,,,,
Profit,$56.91,,,,,,,,,,,,,
